"","Bin","Week","Probability"
"1",0,1,0.727153333333333
"2",0.1,1,0.0265593333333333
"3",0.2,1,0.0373503333333333
"4",0.3,1,0.1539805
"5",0.4,1,0.0102913333333333
"6",0.5,1,0.007311
"7",0.6,1,0.0090815
"8",0.7,1,0.0125656666666667
"9",0.8,1,0.0119945
"10",0.9,1,0.00371266666666667
"11",1,1,0
"12",1.1,1,0
"13",1.2,1,0
"14",1.3,1,0
"15",1.4,1,0
"16",1.5,1,0
"17",1.6,1,0
"18",1.7,1,0
"19",1.8,1,0
"20",1.9,1,0
"21",2,1,0
"22",2.1,1,0
"23",2.2,1,0
"24",2.3,1,0
"25",2.4,1,0
"26",2.5,1,0
"27",2.6,1,0
"28",2.7,1,0
"29",2.8,1,0
"30",2.9,1,0
"31",3,1,0
"32",3.1,1,0
"33",3.2,1,0
"34",3.3,1,0
"35",3.4,1,0
"36",3.5,1,0
"37",3.6,1,0
"38",3.7,1,0
"39",3.8,1,0
"40",3.9,1,0
"41",4,1,0
"42",4.1,1,0
"43",4.2,1,0
"44",4.3,1,0
"45",4.4,1,0
"46",4.5,1,0
"47",4.6,1,0
"48",4.7,1,0
"49",4.8,1,0
"50",4.9,1,0
"51",5,1,0
"52",5.1,1,0
"53",5.2,1,0
"54",5.3,1,0
"55",5.4,1,0
"56",5.5,1,0
"57",5.6,1,0
"58",5.7,1,0
"59",5.8,1,0
"60",5.9,1,0
"61",6,1,0
"62",6.1,1,0
"63",6.2,1,0
"64",6.3,1,0
"65",6.4,1,0
"66",6.5,1,0
"67",6.6,1,0
"68",6.7,1,0
"69",6.8,1,0
"70",6.9,1,0
"71",7,1,0
"72",7.1,1,0
"73",7.2,1,0
"74",7.3,1,0
"75",7.4,1,0
"76",7.5,1,0
"77",7.6,1,0
"78",7.7,1,0
"79",7.8,1,0
"80",7.9,1,0
"81",8,1,0
"82",8.1,1,0
"83",8.2,1,0
"84",8.3,1,0
"85",8.4,1,0
"86",8.5,1,0
"87",8.6,1,0
"88",8.7,1,0
"89",8.8,1,0
"90",8.9,1,0
"91",9,1,0
"92",9.1,1,0
"93",9.2,1,0
"94",9.3,1,0
"95",9.4,1,0
"96",9.5,1,0
"97",9.6,1,0
"98",9.7,1,0
"99",9.8,1,0
"100",9.9,1,0
"101",10,1,0
"102",10.1,1,0
"103",10.2,1,0
"104",10.3,1,0
"105",10.4,1,0
"106",10.5,1,0
"107",10.6,1,0
"108",10.7,1,0
"109",10.8,1,0
"110",10.9,1,0
"111",11,1,0
"112",11.1,1,0
"113",11.2,1,0
"114",11.3,1,0
"115",11.4,1,0
"116",11.5,1,0
"117",11.6,1,0
"118",11.7,1,0
"119",11.8,1,0
"120",11.9,1,0
"121",12,1,0
"122",12.1,1,0
"123",12.2,1,0
"124",12.3,1,0
"125",12.4,1,0
"126",12.5,1,0
"127",12.6,1,0
"128",12.7,1,0
"129",12.8,1,0
"130",12.9,1,0
"131",13,1,0
"132",13.1,1,0
"133",13.2,1,0
"134",13.3,1,0
"135",13.4,1,0
"136",13.5,1,0
"137",13.6,1,0
"138",13.7,1,0
"139",13.8,1,0
"140",13.9,1,0
"141",14,1,0
"142",14.1,1,0
"143",14.2,1,0
"144",14.3,1,0
"145",14.4,1,0
"146",14.5,1,0
"147",14.6,1,0
"148",14.7,1,0
"149",14.8,1,0
"150",14.9,1,0
"151",15,1,0
"152",15.1,1,0
"153",15.2,1,0
"154",15.3,1,0
"155",15.4,1,0
"156",15.5,1,0
"157",15.6,1,0
"158",15.7,1,0
"159",15.8,1,0
"160",15.9,1,0
"161",16,1,0
"162",16.1,1,0
"163",16.2,1,0
"164",16.3,1,0
"165",16.4,1,0
"166",16.5,1,0
"167",16.6,1,0
"168",16.7,1,0
"169",16.8,1,0
"170",16.9,1,0
"171",17,1,0
"172",17.1,1,0
"173",17.2,1,0
"174",17.3,1,0
"175",17.4,1,0
"176",17.5,1,0
"177",17.6,1,0
"178",17.7,1,0
"179",17.8,1,0
"180",17.9,1,0
"181",18,1,0
"182",18.1,1,0
"183",18.2,1,0
"184",18.3,1,0
"185",18.4,1,0
"186",18.5,1,0
"187",18.6,1,0
"188",18.7,1,0
"189",18.8,1,0
"190",18.9,1,0
"191",19,1,0
"192",19.1,1,0
"193",19.2,1,0
"194",19.3,1,0
"195",19.4,1,0
"196",19.5,1,0
"197",19.6,1,0
"198",19.7,1,0
"199",19.8,1,0
"200",19.9,1,0
"201",0,2,0.721441666666667
"202",0.1,2,0.0262736666666667
"203",0.2,2,0.0337939444444445
"204",0.3,2,0.159909944444445
"205",0.4,2,0.0133444444444445
"206",0.5,2,0.0090815
"207",0.6,2,0.0162783333333333
