"","Team","Scenario","Reduction","Rank","Output"
"1","COL","HP02",510936.7,6,"Averted Number"
"2","NEU3","HP02",984479.799999999,8,"Averted Number"
"3","UTA","HP02",3072209.15671154,4,"Averted Number"
"4","UVA","HP02",601346.751645995,5,"Averted Number"
"5","IMP","HP02",533451.87903482,7,"Averted Number"
"6","COL2","HP02",115737.50477644,9,"Averted Number"
"7","ENS","HP02",969693.632028133,5,"Averted Number"
"8","COL","HP03",0,11,"Averted Number"
"9","NEU3","HP03",8009.70000000021,11,"Averted Number"
"10","UTA","HP03",-203994.30578789,11,"Averted Number"
"11","UVA","HP03",16923.2395464245,10,"Averted Number"
"12","IMP","HP03",6859.0985482402,11,"Averted Number"
"13","COL2","HP03",777.487823059886,11,"Averted Number"
"14","ENS","HP03",-28570.7966450275,11,"Averted Number"
"15","COL","HP04",566302,5,"Averted Number"
"16","NEU3","HP04",1565797.6,6,"Averted Number"
"17","UTA","HP04",69814.0739919203,10,"Averted Number"
"18","UVA","HP04",139464.422074278,7,"Averted Number"
"19","IMP","HP04",123805.6694742,9,"Averted Number"
"20","COL2","HP04",264524.244804281,7,"Averted Number"
"21","ENS","HP04",454951.335057447,9,"Averted Number"
"22","COL","HP05",718573.9,4,"Averted Number"
"23","NEU3","HP05",3018962.6,4,"Averted Number"
"24","UTA","HP05",218452.34116364,9,"Averted Number"
"25","UVA","HP05",13450.4640764568,11,"Averted Number"
"26","IMP","HP05",1413923.09929636,5,"Averted Number"
"27","COL2","HP05",146881.55654432,8,"Averted Number"
"28","ENS","HP05",921707.326846797,6,"Averted Number"
"29","COL","HP06",86766.1999999999,10,"Averted Number"
"30","NEU3","HP06",751624.2,9,"Averted Number"
"31","UTA","HP06",708710.29573819,8,"Averted Number"
"32","UVA","HP06",414780.43339685,6,"Averted Number"
"33","IMP","HP06",928166.352893121,6,"Averted Number"
"34","COL2","HP06",360616.52228394,6,"Averted Number"
"35","ENS","HP06",541777.334052016,8,"Averted Number"
"36","COL","HP07",167642.5,8,"Averted Number"
"37","NEU3","HP07",1131439.9,7,"Averted Number"
"38","UTA","HP07",1087479.06068982,6,"Averted Number"
"39","UVA","HP07",95437.0524307924,8,"Averted Number"
"40","IMP","HP07",530656.077323411,8,"Averted Number"
"41","COL2","HP07",365556.40993748,5,"Averted Number"
"42","ENS","HP07",563035.166730251,7,"Averted Number"
"43","COL","HP08",167532.1,9,"Averted Number"
